K,group,database,keywords_number,keywords_number_avg,original_lines,index_lines,invert_index_time(s),quad_index_time(s),tree_min_depth,tree_max_depth,voronoi_index_time(s),center_index_time(s),centroid_index_time(s),mixed_index_time(s),encrypt_index_time(s),original_size(MB),voronoi_index_size(MB),center_index_size(MB),centroid_index_size(MB),mixed_index_size(MB),KNN_query,range_query,range_para,query_number,use_same_file,use_voronoi_file,use_center_file,use_centroid_file,token_time_avg(s),hash_token_time_avg(s),matched_time_avg(s),decrypt_time_avg(s),refine_time_avg(s),results_count_avg,token_count_avg,candidate_count_avg,token_size_avg(bytes),candidate_size_avg(bytes),ratio_avg,recall_avg,precision_avg,last_modify_time
2.0,1.0,twitter,1185558.0,13.02,800437.0,1264095.0,135.2,121.59,1.0,10.0,,470.41,,,39.23,130.12,,140.4,,,1.0,,,100.0,1.0,,80.0,,8.0832e-05,5.5783e-05,0.097939,0.00035128,0.0033265,1.29,22.0,250.31,880.0,5005.0,1.0,,,29002951.0
4.0,1.0,twitter,1185558.0,13.02,800437.0,1264095.0,135.2,121.59,1.0,10.0,,470.41,,,39.23,130.12,,140.4,,,1.0,,,100.0,1.0,,80.0,,8.2494e-05,5.4857e-05,0.095517,0.00033616,0.003291,1.72,22.0,250.31,880.0,5005.0,1.0,,,29002951.0
6.0,1.0,twitter,1185558.0,13.02,800437.0,1264095.0,135.2,121.59,1.0,10.0,,470.41,,,39.23,130.12,,140.4,,,1.0,,,100.0,1.0,,80.0,,7.9868e-05,5.4557e-05,0.09614,0.00033233,0.0032459,2.12,22.0,250.31,880.0,5005.0,1.0,,,29002951.0
8.0,1.0,twitter,1185558.0,13.02,800437.0,1264095.0,135.2,121.59,1.0,10.0,,470.41,,,39.23,130.12,,140.4,,,1.0,,,100.0,1.0,,80.0,,8.1898e-05,5.6031e-05,0.098995,0.00034981,0.0034589,2.56,22.0,250.31,880.0,5005.0,1.0,,,29002951.0
10.0,1.0,twitter,1185558.0,13.02,800437.0,1264095.0,135.2,121.59,1.0,10.0,,470.41,,,39.23,130.12,,140.4,,,1.0,,,100.0,1.0,,80.0,,8.5227e-05,5.9013e-05,0.10111,0.00035894,0.0034828,2.96,22.0,250.31,880.0,5005.0,1.0,,,29002951.0
2.0,2.0,newyork,63854.0,622.68,4181477.0,1354484.0,143.2,397.92,1.0,12.0,,308.67,,,51.29,375.94,,873.6,,,1.0,,,100.0,1.0,,80.0,,0.00010871,7.0655e-05,0.12591,0.0005644,0.006457,1.36,26.0,426.33,1040.0,8521.12,1.0,,,29003005.0
4.0,2.0,newyork,63854.0,622.68,4181477.0,1354484.0,143.2,397.92,1.0,12.0,,308.67,,,51.29,375.94,,873.6,,,1.0,,,100.0,1.0,,80.0,,0.00011395,7.0307e-05,0.12734,0.00057618,0.0065322,2.21,26.0,426.33,1040.0,8521.12,1.0,,,29003005.0
6.0,2.0,newyork,63854.0,622.68,4181477.0,1354484.0,143.2,397.92,1.0,12.0,,308.67,,,51.29,375.94,,873.6,,,1.0,,,100.0,1.0,,80.0,,0.00011245,7.5046e-05,0.12802,0.00056123,0.0065579,2.97,26.0,426.33,1040.0,8521.12,1.0,,,29003005.0
8.0,2.0,newyork,63854.0,622.68,4181477.0,1354484.0,143.2,397.92,1.0,12.0,,308.67,,,51.29,375.94,,873.6,,,1.0,,,100.0,1.0,,80.0,,0.00011102,7.055e-05,0.12571,0.00055753,0.006478,3.76,26.0,426.33,1040.0,8521.12,1.0,,,29003005.0
10.0,2.0,newyork,63854.0,622.68,4181477.0,1354484.0,143.2,397.92,1.0,12.0,,308.67,,,51.29,375.94,,873.6,,,1.0,,,100.0,1.0,,80.0,,0.00011237,7.4141e-05,0.12634,0.00056301,0.0065135,4.34,26.0,426.33,1040.0,8521.12,1.0,,,29003005.0
2.0,3.0,paris,103110.0,739.38,5711822.0,2505927.0,359.04,841.82,1.0,13.0,,730.96,,,95.28,604.62,,1573.97,,,1.0,,,100.0,1.0,,80.0,,0.00011674,7.3315e-05,0.046733,0.00057276,0.0067718,1.4,28.0,541.51,1120.0,10758.71,1.0,,,29003050.0
4.0,3.0,paris,103110.0,739.38,5711822.0,2505927.0,359.04,841.82,1.0,13.0,,730.96,,,95.28,604.62,,1573.97,,,1.0,,,100.0,1.0,,80.0,,0.00011802,7.0195e-05,0.046071,0.00056618,0.0069729,2.24,28.0,541.51,1120.0,10758.71,1.0,,,29003050.0
6.0,3.0,paris,103110.0,739.38,5711822.0,2505927.0,359.04,841.82,1.0,13.0,,730.96,,,95.28,604.62,,1573.97,,,1.0,,,100.0,1.0,,80.0,,0.00012043,7.1339e-05,0.046656,0.0005664,0.0071128,3.17,28.0,541.51,1120.0,10758.71,1.0,,,29003050.0
